iteration,seed,temperature,source_text,translated_text,timestamp
1,101,0,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) hanya untuk tujuan hiburan pribadi Anda, yang bersifat non-komersial, dan secara tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda atas Layanan Riot dan segala Konten Virtual berakhir dengan segera. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak dapat menjual, menyalin, memperdagangkan, meminjamkan, melakukan rekayasa balik, menguraikan, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan Layanan Riot atau kekayaan intelektual Riot Games, termasuk kode komputer atau Konten Virtual kami.",Fri Oct 17 21:50:01 2025
1,101,0.7,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan seluruh Konten Virtual) semata-mata untuk tujuan hiburan pribadi Anda, non-komersial, dan dengan tegas tunduk pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda atas Layanan Riot dan seluruh Konten Virtual berakhir secara otomatis. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak dapat menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, mendekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan bất kỳ Layanan Riot atau bất kỳ kekayaan intelektual Riot Games, termasuk bất kỳ kode komputer atau Konten Virtual kami.",Fri Oct 17 21:50:06 2025
2,202,0,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) semata-mata untuk tujuan pribadi, non-komersial, dan hiburan Anda saja, dengan tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda atas Layanan Riot dan segala Konten Virtual berakhir dengan segera. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak dapat menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, melakukan dekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan hak cipta apa pun atas Layanan Riot atau kekayaan intelektual Riot Games, termasuk kode komputer atau Konten Virtual kami apa pun.",Fri Oct 17 21:50:12 2025
2,202,0.7,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) semata-mata untuk tujuan hiburan pribadi Anda, yang bersifat non-komersial, dan dengan tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda atas Layanan Riot dan segala Konten Virtual berakhir dengan segera. Kecuali secara tegas diizinkan oleh kami dalam perjanjian tertulis yang ditandatangani, Anda tidak dapat menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, mendekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan Layanan Riot atau kekayaan intelektual Riot Games, termasuk kode komputer atau Konten Virtual kami apa pun.",Fri Oct 17 21:50:18 2025
3,303,0,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) hanya untuk tujuan hiburan pribadi Anda, non-komersial, dan dengan tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda dalam Layanan Riot dan segala Konten Virtual berakhir segera. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak boleh menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, mendekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan bất kỳ Layanan Riot atau bất kỳ kekayaan intelektual Riot Games, termasuk bất kỳ kode komputer atau Konten Virtual kami.",Fri Oct 17 21:50:24 2025
3,303,0.7,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) semata-mata untuk tujuan hiburan pribadi Anda, yang bersifat non-komersial, dan dengan tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda dalam Layanan Riot dan segala Konten Virtual berakhir secara otomatis. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak boleh menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, menguraikan, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan bất kỳ Layanan Riot atau bất kỳ kekayaan intelektual Riot Games, termasuk bất kỳ kode komputer atau Konten Virtual kami.",Fri Oct 17 21:50:30 2025
4,404,0,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) semata-mata untuk tujuan pribadi, non-komersial, hiburan saja dan dengan tegas tunduk pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda dalam Layanan Riot dan segala Konten Virtual berakhir dengan segera. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak dapat menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, mendekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan bất kỳ Layanan Riot atau bất kỳ kekayaan intelektual Riot Games, termasuk bất kỳ kode komputer atau Konten Virtual kami.",Fri Oct 17 21:50:35 2025
4,404,0.7,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan setiap Konten Virtual) semata-mata untuk tujuan hiburan pribadi Anda, yang bersifat non-komersial, dan dengan tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda atas Layanan Riot dan setiap Konten Virtual berakhir dengan segera. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak boleh menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, mendekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan salah satu Layanan Riot atau kekayaan intelektual Riot Games, termasuk kode komputer atau Konten Virtual kami apa pun.",Fri Oct 17 21:50:41 2025
5,505,0,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan segala Konten Virtual) untuk tujuan hiburan pribadi Anda semata, dan dengan tegas bergantung pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, segala lisensi yang kami berikan kepada Anda dalam Layanan Riot dan segala Konten Virtual berakhir secara otomatis. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak dapat menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, mendekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan bất kỳ Layanan Riot atau bất kỳ kekayaan intelektual Riot Games, termasuk bất kỳ kode komputer atau Konten Virtual kami.",Fri Oct 17 21:50:47 2025
5,505,0.7,"We grant you a limited, non-exclusive, non-transferable, revocable license to use and enjoy the Riot Services (and any Virtual Content) for your individual, non-commercial, entertainment purposes only and expressly conditioned upon your compliance with these Terms. If we terminate your account, any license granted by us to you in the Riot Services and any Virtual Content ends immediately. Unless otherwise expressly authorized by us in a signed written contract, you may not sell, copy, exchange, loan, reverse engineer, decompile, derive source code from, translate, lease, grant a security interest in, transfer, publish, assign or otherwise distribute any of the Riot Services or any of Riot Games' intellectual property, including any of our computer code or Virtual Content.","Kami memberikan Anda lisensi terbatas, tidak eksklusif, tidak dapat dialihkan, dan dapat dicabut untuk menggunakan dan menikmati Layanan Riot (dan seluruh Konten Virtual) semata-mata untuk tujuan pribadi, non-komersial, hiburan Anda saja dan tegas tunduk pada kepatuhan Anda terhadap Ketentuan ini. Jika kami mengakhiri akun Anda, setiap lisensi yang kami berikan kepada Anda atas Layanan Riot dan seluruh Konten Virtual berakhir dengan segera. Kecuali secara tegas diizinkan oleh kami dalam kontrak tertulis yang ditandatangani, Anda tidak boleh menjual, menyalin, menukar, meminjamkan, melakukan rekayasa balik, melakukan dekompilasi, memperoleh kode sumber dari, menerjemahkan, menyewakan, memberikan hak gadai atas, mentransfer, menerbitkan, mengalihkan, atau dengan cara lain mendistribusikan apa pun dari Layanan Riot atau kekayaan intelektual Riot Games, termasuk kode komputer atau Konten Virtual kami apa pun.",Fri Oct 17 21:50:53 2025
